RecordID,SalesOrderID,SalesOrderDetailID,ProductID,OrderQty,UnitPrice,UnitPriceDiscount,LineTotal,ModifiedDate,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,ShipToAddressID,BillToAddressID,ShipMethod,CreditCardApprovalCode,DI_CreateDT
1,71782,110667,714,3,29.9940,0.0000,89.982000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
2,71782,110668,956,3,1430.4420,0.0000,4291.326000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
3,71782,110669,954,1,1430.4420,0.0000,1430.442000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
4,71782,110670,712,10,5.3940,0.0000,53.940000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
5,71782,110671,877,10,4.7700,0.0000,47.700000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
6,71782,110672,996,4,72.8940,0.0000,291.576000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
7,71782,110673,864,6,38.1000,0.0000,228.600000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
8,71782,110674,876,3,72.0000,0.0000,216.000000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
9,71782,110675,959,4,445.4100,0.0000,1781.640000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
10,71782,110676,971,4,728.9100,0.0000,2915.640000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
11,71782,110677,870,6,2.9940,0.0000,17.964000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
12,71782,110678,978,1,445.4100,0.0000,445.410000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
13,71782,110679,955,1,1430.4420,0.0000,1430.442000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
14,71782,110680,948,1,63.9000,0.0000,63.900000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
15,71782,110681,994,1,32.3940,0.0000,32.394000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
16,71782,110682,970,1,728.9100,0.0000,728.910000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
17,71782,110683,966,2,1430.4420,0.0000,2860.884000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
18,71782,110684,884,4,32.3940,0.0000,129.576000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
19,71782,110685,885,2,602.3460,0.0000,1204.692000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
20,71782,110686,715,8,29.9940,0.0000,239.952000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
21,71782,110687,894,3,72.8760,0.0000,218.628000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
22,71782,110688,957,1,1430.4420,0.0000,1430.442000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
23,71782,110689,967,2,1430.4420,0.0000,2860.884000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
24,71782,110690,708,7,20.9940,0.0000,146.958000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
25,71782,110691,961,3,445.4100,0.0000,1336.230000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
26,71782,110692,979,2,445.4100,0.0000,890.820000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
27,71782,110693,958,2,445.4100,0.0000,890.820000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
28,71782,110694,963,1,445.4100,0.0000,445.410000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
29,71782,110695,953,1,728.9100,0.0000,728.910000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
30,71782,110696,968,2,1430.4420,0.0000,2860.884000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
31,71782,110697,951,2,242.9940,0.0000,485.988000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
32,71782,110698,945,2,54.8940,0.0000,109.788000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
33,71782,110699,916,1,31.5840,0.0000,31.584000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
34,71782,110700,886,1,200.0520,0.0000,200.052000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
35,71782,110701,892,1,602.3460,0.0000,602.346000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
36,71782,110702,893,1,602.3460,0.0000,602.346000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
37,71782,110703,881,6,32.3940,0.0000,194.364000,2008-06-01 00:00:00,2,2008-06-01 00:00:00,2008-06-13 00:00:00,2008-06-08 00:00:00,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,2023-02-13 22:09:54
